Date,Fallacy,Label,Subcategory,arg_comp,arg_rel,Context,bio_tags,pos_tags
2004,"In fact, it's starting to fall apart not because of lawsuits -- though they are a problem, and John Edwards and I are committed to fixing them -- but because of the larger issue that we don't cover Americans.",FalseCause,False cause,Premise,Attack,"And there is no system. In fact, it's starting to fall apart not because of lawsuits -- though they are a problem, and John Edwards and I are committed to fixing them -- but because of the larger issue that we don't cover Americans. Children across our country don't have health care.","['O', 'O', 'O', 'O', 'O', 'B-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'I-FalseCause', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","CCONJ,PRON,VERB,DET,NOUN,PUNCT,ADP,NOUN,PUNCT,PRON,AUX,VERB,PART,VERB,ADV,PART,SCONJ,ADP,NOUN,PUNCT,SCONJ,PRON,AUX,DET,NOUN,PUNCT,CCONJ,PROPN,PROPN,CCONJ,PRON,AUX,ADJ,ADP,VERB,PRON,PUNCT,CCONJ,SCONJ,ADP,DET,ADJ,NOUN,SCONJ,PRON,AUX,PART,VERB,PROPN,PUNCT,NOUN,ADP,PRON,NOUN,AUX,PART,VERB,NOUN,NOUN,PUNCT"
1976,"We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent.",AppealtoEmotion,Appeal to pity,Premise,Support,"The last point is that the major - uh thrust has gotta be to put people back to work. We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent. And the concentration of employment opportunities in those areas would help greatly not only to reestablish the tax base, but also to help reduce the extraordinary welfare cost.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","DET,ADJ,NOUN,AUX,SCONJ,DET,ADJ,PUNCT,INTJ,NOUN,AUX,VERB,PART,AUX,PART,VERB,NOUN,ADV,ADP,NOUN,PUNCT,PRON,AUX,VERB,DET,ADV,ADJ,NOUN,NOUN,ADP,NOUN,ADJ,NOUN,NOUN,PUNCT,INTJ,PUNCT,ADV,ADP,DET,ADV,ADJ,CCONJ,ADV,ADP,NOUN,NOUN,PUNCT,ADV,NUM,CCONJ,NUM,NOUN,PUNCT,CCONJ,DET,NOUN,ADP,NOUN,NOUN,ADP,DET,NOUN,AUX,VERB,ADV,PART,ADV,PART,VERB,DET,NOUN,NOUN,PUNCT,CCONJ,ADV,PART,VERB,VERB,DET,ADJ,NOUN,NOUN,PUNCT"
2008,Admiral Mullen suggests that Senator Obama's plan is dangerous for America.,AppealtoAuthority,Without Evidence,Claim,,"And right now, the commanders in Afghanistan, as well as Admiral Mullen, have acknowledged that we don't have enough troops to deal with Afghanistan because we still have more troops in Iraq than we did before the surge. Admiral Mullen suggests that Senator Obama's plan is dangerous for America. That's not the case.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'O', 'O', 'O', 'O']","CCONJ,ADV,ADV,PUNCT,DET,NOUN,ADP,PROPN,PUNCT,ADV,ADV,ADP,PROPN,PROPN,PUNCT,AUX,VERB,SCONJ,PRON,AUX,PART,VERB,ADJ,NOUN,PART,VERB,ADP,PROPN,SCONJ,PRON,ADV,VERB,ADJ,NOUN,ADP,PROPN,SCONJ,PRON,VERB,ADP,DET,NOUN,PUNCT,PROPN,PROPN,VERB,SCONJ,PROPN,PROPN,PART,NOUN,AUX,ADJ,ADP,PROPN,PUNCT,PRON,AUX,PART,DET,NOUN,PUNCT"
2016,I don't believe she does have the stamina.,AdHominem,Ad hominem,Claim,Support,"I said she doesn't have the stamina. And I don't believe she does have the stamina. To be president of this country, you need tremendous stamina.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AdHominem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PRON,VERB,PRON,AUX,PART,VERB,DET,NOUN,PUNCT,CCONJ,PRON,AUX,PART,VERB,PRON,AUX,VERB,DET,NOUN,PUNCT,PART,AUX,NOUN,ADP,DET,NOUN,PUNCT,PRON,VERB,ADJ,NOUN,PUNCT"
2004,the most significant effort,AppealtoEmotion,Loaded Language,Claim,,"I've tried to find the common ground, because that's what makes us strong as Americans. And if Americans trust me with the presidency, I can pledge to you, we will have the most significant effort, openly -- not secret meetings in the White House with special interests, not ideologically driven efforts to push people aside -- but a genuine effort to try to restore America's hope and possibilities by bringing people together. And one of the ways we're going to do it is, I'm going to work with my friend, John McCain, to further campaign finance reform so we get these incredible amounts of money out of the system and open it up to average people, so America is really represented by the people who make up America.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PRON,AUX,VERB,PART,VERB,DET,ADJ,NOUN,PUNCT,SCONJ,PRON,AUX,PRON,VERB,PRON,ADJ,ADP,PROPN,PUNCT,CCONJ,SCONJ,PROPN,VERB,PRON,ADP,DET,NOUN,PUNCT,PRON,AUX,VERB,ADP,PRON,PUNCT,PRON,AUX,VERB,DET,ADV,ADJ,NOUN,PUNCT,ADV,PUNCT,PART,ADJ,NOUN,ADP,DET,PROPN,PROPN,ADP,ADJ,NOUN,PUNCT,PART,ADV,VERB,NOUN,PART,VERB,NOUN,ADV,PUNCT,CCONJ,DET,ADJ,NOUN,PART,VERB,PART,VERB,PROPN,PART,NOUN,CCONJ,NOUN,ADP,VERB,NOUN,ADV,PUNCT,CCONJ,NUM,ADP,DET,NOUN,PRON,AUX,VERB,PART,VERB,PRON,AUX,PUNCT,PRON,AUX,VERB,PART,VERB,ADP,PRON,NOUN,PUNCT,PROPN,PROPN,PUNCT,PART,ADV,VERB,NOUN,NOUN,SCONJ,PRON,VERB,DET,ADJ,NOUN,ADP,NOUN,ADP,ADP,DET,NOUN,CCONJ,VERB,PRON,ADP,PART,VERB,NOUN,PUNCT,ADV,PROPN,AUX,ADV,VERB,ADP,DET,NOUN,PRON,VERB,ADP,PROPN,PUNCT"
1996,"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",AppealtoEmotion,Loaded Language,Claim,Support,"Secondly, in Haiti, political violence is much, much smaller than it was. Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election. And institutions are beginning to function.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'I-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O']","ADV,PUNCT,ADP,PROPN,PUNCT,ADJ,NOUN,AUX,ADJ,PUNCT,ADV,ADJ,SCONJ,PRON,AUX,PUNCT,ADV,PUNCT,ADP,PROPN,PRON,AUX,DET,ADJ,NOUN,SCONJ,PRON,AUX,AUX,DET,NOUN,ADP,NOUN,CCONJ,ADP,ADJ,PRON,AUX,ADV,AUX,DET,NOUN,PUNCT,CCONJ,NOUN,AUX,VERB,PART,VERB,PUNCT"
2016,"So you can say any way you want to say it, but Bill Clinton was abusive to women. Hillary Clinton attacked those same women and attacked them viciously.",AdHominem,Ad hominem,Claim,,"There’s never been anybody in the history of politics in this nation that’s been so abusive to women. So you can say any way you want to say it, but Bill Clinton was abusive to women. Hillary Clinton attacked those same women and attacked them viciously. Four of them here tonight.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'I-AdHominem', 'O', 'O', 'O', 'O', 'O']","PRON,AUX,ADV,AUX,PRON,ADP,DET,NOUN,ADP,NOUN,ADP,DET,NOUN,PRON,AUX,AUX,ADV,ADJ,ADP,NOUN,PUNCT,ADV,PRON,AUX,VERB,DET,NOUN,PRON,VERB,PART,VERB,PRON,PUNCT,CCONJ,PROPN,PROPN,AUX,ADJ,ADP,NOUN,PUNCT,PROPN,PROPN,VERB,DET,ADJ,NOUN,CCONJ,VERB,PRON,ADV,PUNCT,NUM,ADP,PRON,ADV,NOUN,PUNCT"
2000,"There's still fewer people in uniform today, but person - to - person, person - by - person, unit - by - unit, this is the most powerful and effective military, not only in the world today, but in the history of the world.",Slipperyslope,Slippery slope,Claim,Attack,"Al Gore and I are committed to continuing this acquisition program, transforming the military. There's still fewer people in uniform today, but person - to - person, person - by - person, unit - by - unit, this is the most powerful and effective military, not only in the world today, but in the history of the world. And again, Al Gore and I will do whatever is necessary to keep it that way.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'I-Slipperyslope', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","PROPN,PROPN,CCONJ,PRON,AUX,ADJ,ADP,VERB,DET,NOUN,NOUN,PUNCT,VERB,DET,NOUN,PUNCT,PRON,VERB,ADV,ADJ,NOUN,ADP,NOUN,NOUN,PUNCT,CCONJ,NOUN,PUNCT,ADP,PUNCT,NOUN,PUNCT,NOUN,PUNCT,ADP,PUNCT,NOUN,PUNCT,NOUN,PUNCT,ADP,PUNCT,NOUN,PUNCT,PRON,AUX,DET,ADV,ADJ,CCONJ,ADJ,NOUN,PUNCT,PART,ADV,ADP,DET,NOUN,NOUN,PUNCT,CCONJ,ADP,DET,NOUN,ADP,DET,NOUN,PUNCT,CCONJ,ADV,PUNCT,PROPN,PROPN,CCONJ,PRON,AUX,VERB,PRON,AUX,ADJ,PART,VERB,PRON,DET,NOUN,PUNCT"
1960,"Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East.",AppealtoAuthority,Without Evidence,Premise,Support,"Now, Mr. Herter in 1958, when he was Under Secretary of State, said they were strategically undefensible. Admirals Spruance and Callins in 1955 said that we should not attempt to defend these islands, in their conference in the Far East. General Ridgway has said the same thing.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'I-AppealtoAuthority', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","ADV,PUNCT,PROPN,PROPN,ADP,NUM,PUNCT,SCONJ,PRON,AUX,ADP,PROPN,ADP,PROPN,PUNCT,VERB,PRON,AUX,ADV,ADJ,PUNCT,NOUN,PROPN,CCONJ,PROPN,ADP,NUM,VERB,SCONJ,PRON,AUX,PART,VERB,PART,VERB,DET,NOUN,PUNCT,ADP,PRON,NOUN,ADP,DET,PROPN,PROPN,PUNCT,PROPN,PROPN,AUX,VERB,DET,ADJ,NOUN,PUNCT"
2016,mess,AppealtoEmotion,Loaded Language,Premise,Attack,OK?Because look at the mess that we're in. Look at the mess that we're in.,"['O', 'O', 'O', 'O', 'B-AppealtoEmotion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","AUX,VERB,ADP,DET,NOUN,SCONJ,PRON,AUX,ADP,PUNCT,VERB,ADP,DET,NOUN,SCONJ,PRON,AUX,ADV,PUNCT"
